County,Year,NAAQS,PersonDays,GHG_2018
adams,2018,2,205622,2040799
allegheny,2018,8,9747616,8562826
armstrong,2018,1,65263,11878820
beaver,2018,6,988452,3633942
bedford,2018,0,0,16345
berks,2018,4,1680608,2692340
blair,2018,0,0,122024
bradford,2018,0,0,244466
bucks,2018,12,7538340,2950421
butler,2018,0,0,803207
cambria,2018,0,0,2594900
carbon,2018,0,0,362116
centre,2018,0,0,923290
chester,2018,1,522046,314234
clarion,2018,0,0,6627
clearfield,2018,1,79388,511864
clinton,2018,0,0,263076
columbia,2018,0,0,46858
crawford,2018,0,0,178538
cumberland,2018,0,0,249658
dauphin,2018,1,277097,366713
delaware,2018,4,2259004,5674889
elk,2018,0,0,289855
erie,2018,0,0,207431
fayette,2018,1,130441,1917563
forest,2018,0,0,55926
franklin,2018,0,0,297667
greene,2018,0,0,6121813
huntingdon,2018,0,0,67089
indiana,2018,1,84501,18971089
jefferson,2018,0,0,101673
juniata,2018,0,0,107159
lackawanna,2018,0,0,1480931
lancaster,2018,3,1630671,516567
lawrence,2018,0,0,403353
lebanon,2018,2,282628,2194227
lehigh,2018,2,736200,310641
luzerne,2018,1,317646,1619515
lycoming,2018,0,0,74926
mckean,2018,0,0,400880
mercer,2018,3,332049,294224
mifflin,2018,0,0,70466
monroe,2018,2,339014,63630
montgomery,2018,7,5800228,520004
montour,2018,0,0,2605154
northampton,2018,5,1524035,6101629
northumberland,2018,0,0,538029
perry,2018,0,0,84898
philadelphia,2018,10,15841380,4577152
pike,2018,0,0,31891
potter,2018,0,0,253192
schuylkill,2018,0,0,3473070
snyder,2018,0,0,1604287
somerset,2018,0,0,108297
sullivan,2018,0,0,0
susquehanna,2018,0,0,70129
tioga,2018,0,0,125721
union,2018,0,0,69514
venango,2018,0,0,730644
warren,2018,0,0,671093
washington,2018,2,414692,2620762
westmoreland,2018,2,701222,572832
wyoming,2018,0,0,708246
york,2018,1,448273,3717548
